Clima,TraficoPico,RiesgoRuta,Distancia_km,TiempoEstimado_min,TiempoReal_min,Demora_min,TipoCarga,Peso_kg,ExperienciaConductor_anios,AntiguedadCamion_anios,FallasMecanicas,NivelCombustible_pct,HorarioSalida,EntregaATiempo
1,1,1,123.01,113.5,129.5,16.0,1,6625,8,3,0,0,1,1
0,0,1,130.37,195.5,226.5,30.9,1,11023,6,5,0,0,0,0
0,1,0,164.42,151.8,183.7,31.9,1,10429,6,3,0,0,1,0
0,2,1,74.74,81.5,127.2,45.7,1,8946,2,1,1,0,1,0
0,2,1,75.62,82.5,89.1,6.6,1,7579,10,3,0,0,2,1
0,2,2,194.19,211.8,230.4,18.6,1,14268,11,6,0,0,2,1
0,2,1,53.82,58.7,73.3,14.6,1,5745,8,8,0,0,0,1
0,2,1,244.22,266.4,350.3,83.8,1,5138,6,7,1,0,0,0
0,0,2,339.11,508.7,541.7,33.1,1,8795,3,2,0,0,2,0
0,0,2,159.73,239.6,291.5,51.9,1,8355,8,8,0,0,2,0
2,2,0,316.38,379.7,468.0,88.3,0,4851,8,7,0,0,1,0
0,1,2,43.43,47.4,78.4,31.0,2,10572,6,5,0,0,0,0
0,2,1,24.61,32.8,51.2,18.4,2,12339,12,3,0,0,1,1
0,0,2,255.45,383.2,415.9,32.8,1,10251,9,5,0,0,2,0
0,2,1,268.75,293.2,310.1,17.0,1,10205,9,2,0,0,0,1
2,2,1,296.64,323.6,381.5,57.9,1,14259,8,8,0,0,0,1
0,2,0,29.32,35.2,75.7,40.5,0,4550,5,3,0,0,2,0
1,1,2,274.15,274.1,307.8,33.6,0,9434,5,7,0,0,1,0
0,2,1,138.02,165.6,188.4,22.8,0,4585,6,4,0,0,0,1
0,2,1,113.13,135.8,168.7,32.9,0,3886,8,8,0,0,0,0
0,2,1,68.83,75.1,80.0,4.9,1,8918,9,1,0,0,1,1
2,0,0,339.32,581.7,674.5,92.8,0,7982,4,2,0,0,1,0
0,0,2,29.31,50.2,91.3,41.0,0,5726,3,8,0,0,1,0
0,2,0,291.18,317.7,381.0,63.4,1,9746,6,7,0,0,0,0
0,2,1,227.43,303.2,326.2,22.9,2,10702,9,2,0,0,0,1
0,2,1,259.93,283.6,298.3,14.7,1,11758,4,6,0,0,1,1
0,0,0,255.79,511.6,592.9,81.3,2,11129,4,13,0,0,0,1
0,2,2,301.87,362.2,381.7,19.5,0,2277,8,4,0,0,0,1
0,0,1,70.8,106.2,126.8,20.6,1,8210,4,1,0,0,1,1
1,1,2,10.28,30.0,158.7,128.7,0,8724,7,5,1,0,0,0
1,0,0,214.26,321.4,386.8,65.4,1,11445,5,5,0,0,1,0
0,1,1,130.31,130.3,141.6,11.3,0,5607,3,2,0,0,0,1
0,1,1,52.09,52.1,60.8,8.7,0,4563,6,5,0,0,1,1
0,2,2,73.29,87.9,120.1,32.1,0,6417,6,10,0,0,1,0
1,1,0,122.79,122.8,165.1,42.3,0,6658,8,5,0,0,1,0
0,1,1,33.88,31.3,37.1,5.8,1,8357,9,4,0,0,2,1
1,1,1,29.35,30.0,45.5,15.5,1,8914,5,4,0,0,0,1
1,2,2,321.45,350.7,366.8,16.1,1,8860,9,4,0,0,2,1
1,2,2,116.11,126.7,169.3,42.6,1,10125,5,7,0,0,0,0
0,1,1,343.96,317.5,331.8,14.3,1,6128,6,4,0,0,2,0
2,2,2,337.88,368.6,459.9,91.3,1,10406,5,7,0,0,0,0
0,0,2,65.67,98.5,133.8,35.3,1,7198,1,3,0,0,1,0
0,1,1,253.07,233.6,253.7,20.1,1,7285,7,6,0,0,0,1
0,1,0,214.27,214.3,233.1,18.8,0,6138,4,0,0,0,0,1
0,0,2,239.8,359.7,371.8,12.1,1,6512,7,6,0,0,0,1
1,0,0,33.09,56.7,89.9,33.2,0,5831,8,3,0,0,0,0
1,2,2,74.11,80.8,119.5,38.7,1,9253,8,5,0,0,0,0
0,0,1,36.79,55.2,101.6,46.4,1,4879,7,4,0,0,0,0
2,1,2,215.41,198.8,242.6,43.7,1,12411,3,7,0,0,1,0
0,2,1,345.44,376.8,396.5,19.7,1,9776,6,6,0,0,0,1
0,2,2,238.47,260.2,271.8,11.6,1,9985,3,3,0,0,0,1
0,1,1,251.66,232.3,237.5,5.2,1,11518,12,5,0,0,2,1
2,2,1,344.76,376.1,429.7,53.6,1,12748,5,6,0,0,1,0
0,2,1,240.52,262.4,278.7,16.3,1,9503,3,7,0,0,0,1
0,2,0,23.66,30.0,56.3,26.3,1,10543,7,6,0,0,0,1
0,2,1,304.78,332.5,343.8,11.3,1,9928,7,5,0,0,0,1
2,2,0,133.99,160.8,256.0,95.2,0,7932,6,5,0,0,1,0
1,1,1,11.48,30.0,37.3,7.3,1,5041,1,11,0,0,2,1
1,1,1,182.46,199.0,239.6,40.5,2,11504,7,7,0,0,1,0
1,2,2,328.59,394.3,427.9,33.6,0,5365,5,4,0,0,2,0
1,1,1,97.49,106.4,136.1,29.8,2,7260,3,10,0,0,1,1
0,1,2,177.11,177.1,196.1,19.0,0,6060,2,6,0,0,2,1
0,1,1,69.08,63.8,80.2,16.5,1,11744,4,1,0,0,1,1
1,1,2,29.62,30.0,55.7,25.7,1,8226,4,6,0,0,1,1
1,0,0,43.52,65.3,129.8,64.5,1,3770,3,4,0,0,1,0
0,2,2,257.18,308.6,345.7,37.1,0,4210,5,3,0,0,1,0
0,0,2,296.46,444.7,478.6,33.9,1,6637,6,6,0,0,0,0
1,1,2,58.72,54.2,91.0,36.8,1,13452,6,6,0,0,0,0
0,2,2,108.03,144.0,171.5,27.4,2,9480,10,6,0,0,0,1
2,2,0,76.31,83.2,137.2,53.9,1,8431,7,2,0,0,0,0
0,2,1,19.13,30.0,30.1,0.1,1,10148,3,5,0,0,2,1
0,0,2,199.21,341.5,381.4,39.9,0,7236,3,3,0,0,1,0
1,0,2,254.69,382.0,418.5,36.4,1,11500,3,4,0,0,0,0
0,0,2,225.87,338.8,384.7,45.9,1,9596,0,10,0,0,0,0
0,1,1,141.94,141.9,158.1,16.1,0,7009,7,5,0,0,0,1
0,1,1,198.7,183.4,183.4,0.0,1,9294,6,5,0,0,2,1
1,2,1,41.99,45.8,67.4,21.5,1,10455,3,5,0,0,2,1
0,1,2,62.46,57.7,60.8,3.1,1,6659,10,1,0,0,0,1
0,2,2,326.81,392.2,429.0,36.8,0,2837,5,5,0,0,0,0
1,2,2,268.91,293.4,437.9,144.6,1,8280,1,7,1,0,2,1
2,2,0,323.73,431.6,532.7,101.1,2,14976,9,6,0,0,1,0
0,0,0,313.79,537.9,581.5,43.6,0,6120,8,5,0,0,2,0
0,2,2,230.79,251.8,296.2,44.4,1,5451,3,6,0,0,0,0
0,1,1,325.6,300.6,325.9,25.4,1,10652,7,6,0,0,0,1
0,1,1,151.68,140.0,179.7,39.7,1,6924,4,2,1,0,1,1
0,2,1,11.23,30.0,60.1,30.1,0,8137,3,4,0,0,0,0
1,2,2,31.27,34.1,73.8,39.6,1,11337,6,3,0,0,2,0
0,1,1,47.23,43.6,54.7,11.1,1,8011,5,1,0,0,1,1
0,2,2,42.42,46.3,86.2,39.9,1,6590,6,6,0,0,0,0
1,2,0,129.58,172.8,233.8,61.0,2,9877,6,6,0,0,0,0
0,0,0,245.57,368.3,405.1,36.7,1,11182,4,1,0,0,1,0
0,2,2,278.82,334.6,354.9,20.4,0,4549,4,3,0,0,2,1
1,2,0,210.67,229.8,305.6,75.8,1,12671,6,5,1,0,0,0
1,1,2,59.79,65.2,105.7,40.4,2,14754,7,8,0,0,1,0
1,2,2,264.29,288.3,327.7,39.4,1,7449,5,5,0,0,0,0
0,2,2,130.63,142.5,163.0,20.5,1,6496,7,3,0,0,2,1
0,2,1,14.42,30.0,55.2,25.2,2,6547,6,6,0,0,1,1
2,2,2,105.4,140.5,210.7,70.2,2,10078,5,3,0,0,0,0
0,1,0,122.4,113.0,136.0,23.0,1,12474,4,4,0,0,1,1
0,1,1,103.24,95.3,189.0,93.7,1,9059,3,6,1,0,1,0
0,1,1,286.04,264.0,289.5,25.5,1,12033,4,4,0,0,1,1
1,0,0,265.06,397.6,476.5,78.9,1,8464,6,5,0,0,0,0
2,2,2,246.49,268.9,335.6,66.7,1,7046,8,5,0,0,1,0
0,1,1,57.26,57.3,58.8,1.5,0,2931,12,5,0,0,2,1
2,0,2,292.12,438.2,523.6,85.4,1,7734,6,3,0,0,0,0
0,2,1,240.24,288.3,298.9,10.6,0,6854,8,6,0,0,0,1
0,2,1,76.24,83.2,91.1,7.9,1,14024,8,6,0,0,2,1
1,0,1,231.49,347.2,416.4,69.2,1,10098,5,6,0,0,1,0
0,1,2,174.39,174.4,195.4,21.0,0,3914,7,6,0,0,0,1
0,1,1,159.38,147.1,147.1,0.0,1,13305,9,8,0,0,2,0
0,2,2,48.12,57.7,71.5,13.7,0,8415,10,4,0,0,0,1
2,1,1,186.22,171.9,210.4,38.5,1,8657,7,7,0,0,2,0
0,2,1,43.98,58.6,93.4,34.8,2,9497,4,4,0,0,0,0
2,1,2,65.85,65.8,100.0,34.1,0,7273,7,5,0,0,0,0
1,1,2,55.07,55.1,75.0,19.9,0,8733,7,6,0,0,2,1
0,1,1,334.4,308.7,333.7,25.1,1,10964,6,7,0,0,1,1
1,2,2,106.85,116.6,212.1,95.5,1,12265,4,4,1,0,0,0
0,1,1,130.77,120.7,130.3,9.6,1,12337,7,6,0,0,2,1
0,1,1,119.51,110.3,114.1,3.8,1,9004,3,7,0,0,2,1
1,0,0,321.07,481.6,537.0,55.4,1,7779,7,4,0,0,2,0
1,2,1,201.41,219.7,237.1,17.4,1,8711,4,1,0,0,0,1
0,2,1,322.51,351.8,388.6,36.7,1,6533,6,5,0,0,0,0
0,1,1,111.97,103.4,109.1,5.7,1,8835,5,5,0,0,1,1
1,2,0,49.04,53.5,92.0,38.5,1,8989,3,5,0,0,2,0
1,1,2,199.11,183.8,271.8,88.0,1,13223,4,9,1,0,0,0
1,2,2,127.48,139.1,183.2,44.2,1,10483,5,7,0,0,0,0
0,1,1,282.65,282.6,291.7,9.1,0,5991,7,5,0,0,0,1
0,0,2,302.92,454.4,488.2,33.8,1,3601,8,5,0,0,0,0
0,0,1,176.68,265.0,297.6,32.6,1,5957,11,2,0,0,1,0
1,1,1,340.26,314.1,324.8,10.7,1,8112,11,3,0,0,0,1
1,1,2,198.02,198.0,309.9,111.8,0,6494,3,2,1,0,1,0
0,1,1,102.11,94.3,106.0,11.8,1,8726,10,0,0,0,1,1
0,2,1,176.25,192.3,211.4,19.1,1,5330,6,7,0,0,0,1
0,1,2,22.69,30.0,37.5,7.5,2,14550,9,7,0,0,2,1
1,0,0,274.77,412.2,510.7,98.6,1,6006,2,4,0,0,0,0
1,2,1,44.49,59.3,120.6,61.3,2,7057,7,2,1,0,0,0
0,0,0,114.28,195.9,218.6,22.6,0,4516,7,6,0,0,0,1
0,2,1,202.21,220.6,238.2,17.7,1,8121,5,5,0,0,1,1
0,0,1,20.19,30.3,76.6,46.3,1,9433,3,2,0,0,0,0
0,1,1,36.97,37.0,63.6,26.6,0,5466,5,9,0,0,2,1
1,2,0,246.68,328.9,390.6,61.7,2,17172,3,6,0,0,0,0
0,2,1,34.4,37.5,44.7,7.2,1,6898,10,4,0,0,0,1
0,0,2,178.55,267.8,306.3,38.5,1,8223,8,3,0,0,2,0
2,2,0,125.16,136.5,228.2,91.7,1,9843,4,6,0,0,2,0
0,0,2,87.78,131.7,180.1,48.4,1,12547,5,3,0,0,1,0
0,1,1,74.18,74.2,86.9,12.7,0,6656,11,1,0,0,0,1
0,0,1,275.87,413.8,464.9,51.1,1,5952,9,6,0,0,0,0
0,2,2,333.52,400.2,424.9,24.7,0,5734,2,8,0,0,0,1
0,2,1,57.66,69.2,90.5,21.3,0,8181,9,6,0,0,1,1
0,0,2,346.26,593.6,648.3,54.7,0,3874,5,4,0,0,1,0
0,2,1,212.22,254.7,272.6,18.0,0,3601,2,3,0,0,0,1
0,2,2,228.16,273.8,302.7,28.9,0,6331,4,6,0,0,1,1
0,2,2,251.37,301.6,341.6,40.0,0,8081,4,6,0,0,1,0
1,1,2,249.4,249.4,294.3,44.9,0,6488,4,1,0,0,0,1
0,2,1,288.74,315.0,342.1,27.1,1,6843,5,4,0,0,0,0
0,1,1,174.38,161.0,175.0,14.0,1,13982,3,4,0,0,2,1
0,1,1,191.34,176.6,183.8,7.2,1,4177,8,3,0,0,0,1
1,0,1,115.88,198.7,248.7,50.1,0,4231,8,6,0,0,0,0
1,2,2,45.79,54.9,100.8,45.8,0,6205,4,3,0,0,0,0
0,2,1,235.98,257.4,265.2,7.8,1,10607,5,2,0,0,1,1
0,2,1,21.43,30.0,32.7,2.7,1,7229,4,4,0,0,1,1
0,2,1,103.72,113.1,133.1,20.0,1,11923,11,3,0,0,1,1
0,2,1,42.04,50.4,74.7,24.2,0,6886,7,2,0,0,0,1
0,0,2,82.78,124.2,169.3,45.1,1,6034,6,6,0,0,1,0
0,0,2,220.29,330.4,378.7,48.2,1,6263,5,7,0,0,0,0
0,2,1,223.68,268.4,271.6,3.2,0,5775,9,7,0,0,2,1
0,2,1,153.16,183.8,215.5,31.7,0,5708,7,6,0,0,2,0
0,2,2,40.66,44.4,68.8,24.4,1,13501,5,5,0,0,1,0
0,2,2,157.35,171.7,190.5,18.8,1,11622,7,2,0,0,0,0
1,2,0,129.93,173.2,236.9,63.7,2,13768,5,6,0,0,1,0
0,2,2,254.96,305.9,326.1,20.1,0,8588,9,3,0,0,0,1
2,2,0,206.87,248.2,295.8,47.6,0,4881,5,3,0,0,0,0
0,2,2,177.13,193.2,218.7,25.5,1,6827,9,4,0,0,2,1
1,2,0,175.57,191.5,231.3,39.8,1,2306,6,3,0,0,0,0
2,2,0,338.54,369.3,431.2,61.9,1,7984,5,8,0,0,0,0
2,1,2,267.14,267.1,348.7,81.6,0,9259,4,7,0,0,1,0
1,1,2,178.97,165.2,198.0,32.8,1,6930,5,11,0,0,1,0
1,2,1,172.94,188.7,194.6,5.9,1,8475,7,1,0,0,1,1
1,2,2,19.0,30.0,70.2,40.2,0,5004,4,9,0,0,0,0
1,1,0,330.45,360.5,406.6,46.1,2,11936,10,4,0,0,1,0
0,2,1,118.52,142.2,159.7,17.5,0,5848,8,3,0,0,0,1
0,2,1,97.02,105.8,108.8,2.9,1,5152,6,4,0,0,2,1
0,1,1,349.8,322.9,333.1,10.2,1,5631,9,1,0,0,0,1
1,0,2,244.6,366.9,413.9,47.0,1,12717,8,6,0,0,0,0
0,0,2,18.62,30.0,60.7,30.7,1,10833,11,5,0,0,1,0
0,2,1,31.04,33.9,54.5,20.7,1,8352,3,4,0,0,0,1
1,2,2,18.67,30.0,64.0,34.0,1,13268,6,2,0,0,1,0
0,1,1,213.87,197.4,203.4,5.9,1,5587,7,3,0,0,0,1
0,0,1,36.88,63.2,111.9,48.7,0,5246,4,10,0,0,0,0
0,2,1,327.35,436.5,458.6,22.1,2,9713,6,2,0,0,0,1
0,0,1,334.51,501.8,539.6,37.9,1,10516,7,3,0,0,0,1
0,2,1,195.66,213.4,235.0,21.6,1,3032,5,5,0,0,0,1
0,1,1,219.66,202.8,222.2,19.4,1,8348,6,5,0,0,0,1
0,1,1,109.24,100.8,105.7,4.9,1,10842,4,6,0,0,0,1
0,2,0,31.75,34.6,63.7,29.1,1,8842,4,9,0,0,2,1
0,2,2,260.74,284.4,346.9,62.5,1,12138,4,3,0,0,1,0
1,1,1,44.61,44.6,64.6,19.9,0,7867,8,4,0,0,0,1
0,2,1,39.09,42.6,56.8,14.1,1,6604,3,3,0,0,0,1
2,0,2,113.75,227.5,297.4,69.9,2,13049,2,4,0,0,0,0
2,2,1,14.24,30.0,45.4,15.4,1,6518,9,5,0,0,0,1
0,2,0,157.57,171.9,203.0,31.1,1,9135,3,7,0,0,0,0
0,1,1,250.61,231.3,251.1,19.8,1,10640,3,8,0,0,0,1
0,2,2,282.46,308.1,329.6,21.5,1,6912,11,4,0,0,2,1
1,2,2,215.46,235.1,279.3,44.3,1,10967,11,5,0,0,1,0
1,0,0,298.96,597.9,674.0,76.1,2,13283,7,3,0,0,0,0
1,2,0,148.21,161.7,195.0,33.3,1,7548,8,5,0,0,0,0
0,2,1,298.58,325.7,356.7,30.9,1,10767,5,4,0,0,0,1
1,1,1,182.2,168.2,172.2,4.0,1,6910,11,4,0,0,0,1
0,1,1,85.83,79.2,88.4,9.2,1,6783,7,3,0,0,1,1
1,2,2,331.01,361.1,396.4,35.3,1,11603,5,3,0,0,0,0
0,2,1,103.49,112.9,119.0,6.1,1,9271,4,7,0,0,0,1
1,2,2,18.91,30.0,57.4,27.4,0,5611,8,4,0,0,0,1
1,0,0,91.99,138.0,212.8,74.8,1,11139,8,6,0,0,1,0
0,0,1,141.48,212.2,256.7,44.5,1,7983,5,4,0,0,0,0
1,0,0,120.87,207.2,260.6,53.4,0,8471,3,5,0,0,2,0
0,1,1,188.39,188.4,194.3,5.9,0,5122,13,5,0,0,0,1
1,2,1,310.26,338.5,362.4,23.9,1,11259,3,6,0,0,0,1
0,0,0,109.62,164.4,205.5,41.1,1,6850,3,6,0,0,0,0
2,2,2,187.06,204.1,262.7,58.6,1,5890,5,3,0,0,1,0
0,1,1,125.65,116.0,120.8,4.8,1,10599,4,4,0,0,0,1
2,0,0,281.9,422.8,551.1,128.3,1,11014,5,6,0,0,0,0
1,2,1,63.58,76.3,115.8,39.5,0,6807,2,3,0,0,0,0
0,2,1,45.19,49.3,53.3,3.9,1,11282,2,5,0,0,0,1
1,0,2,185.62,318.2,364.2,46.0,0,5688,5,4,0,0,0,0
1,2,1,238.44,260.1,293.3,33.1,1,12367,3,5,0,0,1,0
2,2,0,280.48,336.6,400.5,63.9,0,4209,8,6,0,0,1,0
0,2,2,210.47,252.6,262.9,10.3,0,8104,4,5,0,0,1,1
0,2,1,273.11,297.9,329.8,31.9,1,7891,3,7,0,0,2,0
0,1,1,143.52,132.5,149.5,17.0,1,8860,1,7,0,0,0,1
1,2,0,21.18,30.0,47.2,17.2,1,10102,7,5,0,0,2,1
0,0,1,40.84,70.0,143.7,73.7,0,5478,8,4,1,0,0,0
